frame,t,yellow_frac
522,17.4000,0.00000
523,17.4333,0.00000
524,17.4667,0.00000
525,17.5000,0.00000
526,17.5333,0.00000
527,17.5667,0.00000
528,17.6000,0.00000
529,17.6333,0.00000
530,17.6667,0.00000
531,17.7000,0.00000
532,17.7333,0.00000
533,17.7667,0.00000
534,17.8000,0.00000
535,17.8333,0.00000
536,17.8667,0.00000
537,17.9000,0.00000
538,17.9333,0.00000
539,17.9667,0.00000
540,18.0000,0.00000
541,18.0333,0.00000
542,18.0667,0.00000
543,18.1000,0.00000
544,18.1333,0.00000
545,18.1667,0.00000
546,18.2000,0.00000
547,18.2333,0.00000
548,18.2667,0.00000
549,18.3000,0.00000
550,18.3333,0.00000
551,18.3667,0.00000
552,18.4000,0.00000
553,18.4333,0.00000
554,18.4667,0.00000
555,18.5000,0.00000
556,18.5333,0.00000
557,18.5667,0.00000
558,18.6000,0.00000
559,18.6333,0.00000
560,18.6667,0.00000
561,18.7000,0.00000
562,18.7333,0.00000
563,18.7667,0.00000
564,18.8000,0.00000
565,18.8333,0.00000
566,18.8667,0.00000
567,18.9000,0.00000
568,18.9333,0.00000
569,18.9667,0.00000
570,19.0000,0.00000
571,19.0333,0.00000
572,19.0667,0.00000
573,19.1000,0.00000
574,19.1333,0.00000
575,19.1667,0.00000
576,19.2000,0.00000
577,19.2333,0.00000
578,19.2667,0.00000
579,19.3000,0.00000
580,19.3333,0.00000
581,19.3667,0.00000
582,19.4000,0.00000
583,19.4333,0.00000
584,19.4667,0.00000
585,19.5000,0.00000
586,19.5333,0.00000
587,19.5667,0.00000
588,19.6000,0.00000
589,19.6333,0.00000
590,19.6667,0.00000
591,19.7000,0.00000
592,19.7333,0.00000
593,19.7667,0.00000
594,19.8000,0.00000
595,19.8333,0.00000
596,19.8667,0.00000
597,19.9000,0.00000
598,19.9333,0.00000
599,19.9667,0.00000
600,20.0000,0.00000
601,20.0333,0.00000
602,20.0667,0.00000
603,20.1000,0.00000
604,20.1333,0.00000
605,20.1667,0.00000
606,20.2000,0.00000
607,20.2333,0.00000
608,20.2667,0.00426
609,20.3000,0.00215
610,20.3333,0.00146
611,20.3667,0.00154
612,20.4000,0.00154
613,20.4333,0.00154
614,20.4667,0.00154
615,20.5000,0.00154
616,20.5333,0.00154
617,20.5667,0.00154
